Num Processes	Size	Time	Num Processes	Size	Time	Num Processes	Size	Time
256	20	4.074256	256	40	3.922358	256	80	4.061732
Probabilty 256 20	Percent Burned 256 20	Iterations 256 20	Probabilty 256 40	Percent Burned 256 40	Iterations 256 40	Probabilty 256 80	Percent Burned 256 80	Iterations 256 80
0	0	2	0	0	2	0	0	2
0.01	0.000008	2	0.01	0.000008	2	0.01	0	2
0.02	0.000016	2	0.02	0.000024	2	0.02	0.000016	2
0.03	0.000032	2	0.03	0.000024	2	0.03	0.000016	2
0.04	0.000032	2	0.04	0.00002	3	0.04	0	2
0.05	0.000016	2	0.05	0.000028	3	0.05	0.000036	3
0.06	0.000016	2	0.06	0.000016	2	0.06	0.000072	2
0.07	0.000033	4	0.07	0.000064	2	0.07	0.000064	2
0.08	0.000057	4	0.08	0.00004	2	0.08	0.000056	2
0.09	0.000104	2	0.09	0.000056	2	0.09	0.000044	3
0.1	0.000032	2	0.1	0.000184	2	0.1	0.000136	2
0.11	0.00012	2	0.11	0.000141	6	0.11	0.0001	3
0.12	0.000152	2	0.12	0.0002	2	0.12	0.000088	2
0.13	0.0001	3	0.13	0.000161	4	0.13	0.000124	3
0.14	0.000125	5	0.14	0.000096	2	0.14	0.00012	2
0.15	0.000141	4	0.15	0.000328	2	0.15	0.000184	2
0.16	0.000372	3	0.16	0.000116	3	0.16	0.000156	3
0.17	0.000188	3	0.17	0.000246	6	0.17	0.000184	2
0.18	0.000257	4	0.18	0.000145	4	0.18	0.00018	3
0.19	0.000292	3	0.19	0.000352	2	0.19	0.000476	3
0.2	0.000172	3	0.2	0.000324	3	0.2	0.000304	2
0.21	0.000402	6	0.21	0.000304	2	0.21	0.000272	2
0.22	0.000348	3	0.22	0.000208	2	0.22	0.000241	3
0.23	0.000497	4	0.23	0.000413	4	0.23	0.000188	3
0.24	0.00052	2	0.24	0.000713	4	0.24	0.000425	4
0.25	0.000536	2	0.25	0.000598	7	0.25	0.000304	2
0.26	0.000381	5	0.26	0.000472	2	0.26	0.000616	2
0.27	0.000645	5	0.27	0.000816	2	0.27	0.000805	4
0.28	0.000989	5	0.28	0.001297	4	0.28	0.00087	6
0.29	0.000571	8	0.29	0.000369	4	0.29	0.000973	4
0.3	0.000829	4	0.3	0.001007	7	0.3	0.000969	5
0.31	0.001032	2	0.31	0.001222	7	0.31	0.000866	7
0.32	0.000846	6	0.32	0.001241	4	0.32	0.000998	7
0.33	0.000993	4	0.33	0.001176	2	0.33	0.001035	8
0.34	0.002053	3	0.34	0.001733	3	0.34	0.001656	17
0.35	0.00081	8	0.35	0.003774	5	0.35	0.002257	4
0.36	0.002416	2	0.36	0.002344	2	0.36	0.002467	30
0.37	0.002952	2	0.37	0.003412	13	0.37	0.001702	6
0.38	0.003378	4	0.38	0.004529	2	0.38	0.004493	10
0.39	0.004358	5	0.39	0.005526	5	0.39	0.003626	28
0.4	0.004325	4	0.4	0.005648	7	0.4	0.007649	21
0.41	0.009568	6	0.41	0.006374	4	0.41	0.005267	14
0.42	0.009718	36	0.42	0.00895	17	0.42	0.014222	19
0.43	0.009207	10	0.43	0.007907	11	0.43	0.019253	17
0.44	0.02636	12	0.44	0.018238	101	0.44	0.018715	2
0.45	0.023019	15	0.45	0.018371	2	0.45	0.028046	40
0.46	0.036928	23	0.46	0.040052	48	0.46	0.033487	5
0.47	0.104323	123	0.47	0.05283	88	0.47	0.040958	72
0.48	0.084781	64	0.48	0.066411	90	0.48	0.102135	107
0.49	0.200088	138	0.49	0.184694	172	0.49	0.19091	192
0.5	0.243171	174	0.5	0.32088	105	0.5	0.25653	139
0.51	0.407331	141	0.51	0.309459	121	0.51	0.305616	2
0.52	0.613416	151	0.52	0.599055	121	0.52	0.427391	3
0.53	0.667719	93	0.53	0.531159	136	0.53	0.667482	6
0.54	0.783955	127	0.54	0.592846	154	0.54	0.726581	142
0.55	0.81948	2	0.55	0.825603	102	0.55	0.815165	120
0.56	0.737474	131	0.56	0.876645	112	0.56	0.784846	112
0.57	0.805178	123	0.57	0.890372	108	0.57	0.804732	101
0.58	0.818999	93	0.58	0.841701	5	0.58	0.814187	133
0.59	0.878097	98	0.59	0.874718	95	0.59	0.803622	2
0.6	0.888179	97	0.6	0.941013	90	0.6	0.889792	97
0.61	0.870381	5	0.61	0.944224	99	0.61	0.945358	94
0.62	0.905328	88	0.62	0.90414	95	0.62	0.955126	91
0.63	0.959712	89	0.63	0.961219	93	0.63	0.812369	88
0.64	0.965322	86	0.64	0.96469	85	0.64	0.966758	90
0.65	0.919739	94	0.65	0.969146	86	0.65	0.920282	93
0.66	0.974328	89	0.66	0.973967	85	0.66	0.897116	2
0.67	0.926603	87	0.67	0.978029	82	0.67	0.978201	83
0.68	0.930939	83	0.68	0.980213	84	0.68	0.981468	84
0.69	0.983529	90	0.69	0.983971	83	0.69	0.983366	83
0.7	0.98541	83	0.7	0.985459	82	0.7	0.985522	83
0.71	0.98729	84	0.71	0.987612	83	0.71	0.987798	86
0.72	0.989555	83	0.72	0.990095	83	0.72	0.989804	83
0.73	0.99171	81	0.73	0.940696	82	0.73	0.990909	87
0.74	0.992673	83	0.74	0.992781	84	0.74	0.992096	82
0.75	0.993669	84	0.75	0.993413	83	0.75	0.994087	85
0.76	0.994877	82	0.76	0.995027	82	0.76	0.994594	82
0.77	0.99529	85	0.77	0.995774	82	0.77	0.995744	86
0.78	0.996385	84	0.78	0.996537	82	0.78	0.996533	82
